Participant Number,Imitation,Inside,Own,Dual Bodies,Ownership,Same pressure,Slowed,Sluggish,Plastic,Agency,Notice,Interpretation,Experience,Rumble Question,Experience Question
15,4,3,2,3,2.666666667,3,4,4,1,3,TRUE,Correct,OK,I noticed the rumbling at the boundaries at the end when I fully extended my arms. That discouraged me from going that far out. The rumbling was both good and bad - good when you got it right and it was brief and bad when it was used extensively,It felt really cool to control it. Weird to have control and watch it from like behind the robot. No dizziness or anything fatiguing. Very fun!
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Mean,3,1.5625,1.4375,2.0625,1.6875,2.3125,3.5625,3.1875,1,2.515625,0.6875,0.4375,,,
SD,0.816496581,1.030776406,1.152894907,1.652018967,0.906509382,1.493039406,0.892094913,0.83416625,1.154700538,0.823957675,,,,,
Min,1,0,0,0,0.333333333,0,1,1,0,1,,,,,
Max,4,4,4,4,3.333333333,4,4,4,4,3.75,,,,,
Median,3,1.5,1,2.5,1.5,3,4,3,1,2.625,,,,,
